cv_id,cv_title,rank,jd_id,jd_title,score,score_type,retrieval_rank,retrieval_score
0,Nguyễn Văn Phần Mềm,1,0,Software Engineer,106.21004,unknown,1,106.21004
0,Nguyễn Văn Phần Mềm,2,1,Senior Software Engineer,95.233185,unknown,2,95.233185
0,Nguyễn Văn Phần Mềm,3,2,Junior Backend Developer,90.33858,unknown,3,90.33858
0,Nguyễn Văn Phần Mềm,4,4,Machine Learning Engineer,90.06375,unknown,4,90.06375
0,Nguyễn Văn Phần Mềm,5,3,Data Scientist,84.05425,unknown,5,84.05425
0,Nguyễn Văn Phần Mềm,6,5,Data Analyst,78.938896,unknown,6,78.938896
0,Nguyễn Văn Phần Mềm,7,8,SEO Expert,71.68541,unknown,7,71.68541
0,Nguyễn Văn Phần Mềm,8,7,Digital Marketing Specialist,65.477684,unknown,8,65.477684
0,Nguyễn Văn Phần Mềm,9,6,Marketing Manager,62.485962,unknown,9,62.485962
1,Trần Thị Dữ Liệu,1,3,Data Scientist,110.552315,unknown,1,110.552315
1,Trần Thị Dữ Liệu,2,5,Data Analyst,94.25022,unknown,2,94.25022
1,Trần Thị Dữ Liệu,3,4,Machine Learning Engineer,90.47237,unknown,3,90.47237
1,Trần Thị Dữ Liệu,4,0,Software Engineer,87.69674,unknown,4,87.69674
1,Trần Thị Dữ Liệu,5,1,Senior Software Engineer,86.08749,unknown,5,86.08749
1,Trần Thị Dữ Liệu,6,2,Junior Backend Developer,82.2956,unknown,6,82.2956
1,Trần Thị Dữ Liệu,7,7,Digital Marketing Specialist,73.87926,unknown,7,73.87926
1,Trần Thị Dữ Liệu,8,8,SEO Expert,71.899925,unknown,8,71.899925
1,Trần Thị Dữ Liệu,9,6,Marketing Manager,69.31739,unknown,9,69.31739
2,Lê Văn Marketing,1,6,Marketing Manager,95.357605,unknown,1,95.357605
2,Lê Văn Marketing,2,7,Digital Marketing Specialist,88.30346,unknown,2,88.30346
2,Lê Văn Marketing,3,8,SEO Expert,75.81268,unknown,3,75.81268
2,Lê Văn Marketing,4,2,Junior Backend Developer,72.35571,unknown,4,72.35571
2,Lê Văn Marketing,5,4,Machine Learning Engineer,71.61919,unknown,5,71.61919
2,Lê Văn Marketing,6,5,Data Analyst,70.66124,unknown,6,70.66124
2,Lê Văn Marketing,7,3,Data Scientist,68.590485,unknown,7,68.590485
2,Lê Văn Marketing,8,1,Senior Software Engineer,63.88886,unknown,8,63.88886
2,Lê Văn Marketing,9,0,Software Engineer,62.118805,unknown,9,62.118805
