cv_id,cv_title,rank,jd_id,jd_title,score,score_type,retrieval_rank,retrieval_score
0,Nguyễn Văn Phần Mềm,1,0,Software Engineer,0.7593700885772705,dot_product,1,0.7593700885772705
0,Nguyễn Văn Phần Mềm,2,1,Senior Software Engineer,0.692990779876709,dot_product,2,0.692990779876709
0,Nguyễn Văn Phần Mềm,3,2,Junior Backend Developer,0.612678587436676,dot_product,3,0.612678587436676
0,Nguyễn Văn Phần Mềm,4,4,Machine Learning Engineer,0.5966972708702087,dot_product,4,0.5966972708702087
0,Nguyễn Văn Phần Mềm,5,5,Data Analyst,0.5160037279129028,dot_product,5,0.5160037279129028
0,Nguyễn Văn Phần Mềm,6,3,Data Scientist,0.5061236023902893,dot_product,6,0.5061236023902893
0,Nguyễn Văn Phần Mềm,7,8,SEO Expert,0.4833373725414276,dot_product,7,0.4833373725414276
0,Nguyễn Văn Phần Mềm,8,7,Digital Marketing Specialist,0.3961423933506012,dot_product,8,0.3961423933506012
0,Nguyễn Văn Phần Mềm,9,6,Marketing Manager,0.38134562969207764,dot_product,9,0.38134562969207764
1,Trần Thị Dữ Liệu,1,3,Data Scientist,0.7310399413108826,dot_product,1,0.7310399413108826
1,Trần Thị Dữ Liệu,2,1,Senior Software Engineer,0.5442179441452026,dot_product,2,0.5442179441452026
1,Trần Thị Dữ Liệu,3,4,Machine Learning Engineer,0.5198158025741577,dot_product,3,0.5198158025741577
1,Trần Thị Dữ Liệu,4,0,Software Engineer,0.5165499448776245,dot_product,4,0.5165499448776245
1,Trần Thị Dữ Liệu,5,5,Data Analyst,0.512719452381134,dot_product,5,0.512719452381134
1,Trần Thị Dữ Liệu,6,6,Marketing Manager,0.4477235674858093,dot_product,6,0.4477235674858093
1,Trần Thị Dữ Liệu,7,7,Digital Marketing Specialist,0.4438769221305847,dot_product,7,0.4438769221305847
1,Trần Thị Dữ Liệu,8,2,Junior Backend Developer,0.4214385449886322,dot_product,8,0.4214385449886322
1,Trần Thị Dữ Liệu,9,8,SEO Expert,0.41533994674682617,dot_product,9,0.41533994674682617
2,Lê Văn Marketing,1,6,Marketing Manager,0.6555659174919128,dot_product,1,0.6555659174919128
2,Lê Văn Marketing,2,7,Digital Marketing Specialist,0.6389684677124023,dot_product,2,0.6389684677124023
2,Lê Văn Marketing,3,8,SEO Expert,0.49441689252853394,dot_product,3,0.49441689252853394
2,Lê Văn Marketing,4,2,Junior Backend Developer,0.44549989700317383,dot_product,4,0.44549989700317383
2,Lê Văn Marketing,5,5,Data Analyst,0.4362454414367676,dot_product,5,0.4362454414367676
2,Lê Văn Marketing,6,4,Machine Learning Engineer,0.3979165852069855,dot_product,6,0.3979165852069855
2,Lê Văn Marketing,7,1,Senior Software Engineer,0.3867959678173065,dot_product,7,0.3867959678173065
2,Lê Văn Marketing,8,3,Data Scientist,0.3742012679576874,dot_product,8,0.3742012679576874
2,Lê Văn Marketing,9,0,Software Engineer,0.3727281987667084,dot_product,9,0.3727281987667084
