cv_id,cv_title,rank,jd_id,jd_title,score,score_type,retrieval_rank,retrieval_score
0,Nguyễn Văn Phần Mềm,1,3,Data Scientist,0.5007881507533914,unknown,1,0.5007881507533914
0,Nguyễn Văn Phần Mềm,2,1,Senior Software Engineer,0.4811532420219591,unknown,2,0.4811532420219591
0,Nguyễn Văn Phần Mềm,3,5,Data Analyst,0.41587214306128995,unknown,3,0.41587214306128995
0,Nguyễn Văn Phần Mềm,4,0,Software Engineer,0.41570888074667134,unknown,4,0.41570888074667134
0,Nguyễn Văn Phần Mềm,5,6,Marketing Manager,0.4060544758450844,unknown,5,0.4060544758450844
0,Nguyễn Văn Phần Mềm,6,4,Machine Learning Engineer,0.3993797966776095,unknown,6,0.3993797966776095
0,Nguyễn Văn Phần Mềm,7,2,Junior Backend Developer,0.3934511142448046,unknown,7,0.3934511142448046
0,Nguyễn Văn Phần Mềm,8,7,Digital Marketing Specialist,0.3707990157558001,unknown,8,0.3707990157558001
0,Nguyễn Văn Phần Mềm,9,8,SEO Expert,0.30931909247138256,unknown,9,0.30931909247138256
1,Trần Thị Dữ Liệu,1,3,Data Scientist,0.426567055469234,unknown,1,0.426567055469234
1,Trần Thị Dữ Liệu,2,7,Digital Marketing Specialist,0.4135841041870175,unknown,2,0.4135841041870175
1,Trần Thị Dữ Liệu,3,5,Data Analyst,0.37866768088072056,unknown,3,0.37866768088072056
1,Trần Thị Dữ Liệu,4,1,Senior Software Engineer,0.3636642946481732,unknown,4,0.3636642946481732
1,Trần Thị Dữ Liệu,5,6,Marketing Manager,0.3600216289731584,unknown,5,0.3600216289731584
1,Trần Thị Dữ Liệu,6,2,Junior Backend Developer,0.35869710275114375,unknown,6,0.35869710275114375
1,Trần Thị Dữ Liệu,7,4,Machine Learning Engineer,0.3254242142347134,unknown,7,0.3254242142347134
1,Trần Thị Dữ Liệu,8,0,Software Engineer,0.31725273602419035,unknown,8,0.31725273602419035
1,Trần Thị Dữ Liệu,9,8,SEO Expert,0.28150632118291313,unknown,9,0.28150632118291313
2,Lê Văn Marketing,1,6,Marketing Manager,0.4538101808002335,unknown,1,0.4538101808002335
2,Lê Văn Marketing,2,0,Software Engineer,0.4107634470996793,unknown,2,0.4107634470996793
2,Lê Văn Marketing,3,8,SEO Expert,0.4026884267641048,unknown,3,0.4026884267641048
2,Lê Văn Marketing,4,7,Digital Marketing Specialist,0.39676937045061655,unknown,4,0.39676937045061655
2,Lê Văn Marketing,5,4,Machine Learning Engineer,0.3215127280983036,unknown,5,0.3215127280983036
2,Lê Văn Marketing,6,5,Data Analyst,0.31785694246918234,unknown,6,0.31785694246918234
2,Lê Văn Marketing,7,2,Junior Backend Developer,0.2984568721665656,unknown,7,0.2984568721665656
2,Lê Văn Marketing,8,3,Data Scientist,0.2782055316630632,unknown,8,0.2782055316630632
2,Lê Văn Marketing,9,1,Senior Software Engineer,0.274769813953901,unknown,9,0.274769813953901
